"證券代碼","公司名稱","TSE產業別","年月日","調整開盤價","調整收盤價","成交張數","CAPM一年beta","全額交割.Y.","股價年標準差","Price_MA_20","Price_MA_60","Price_MA_120","Price_MA_252","成交張數_MA_20","CV股價離散程度","z_CV_price","上市別","年月.x","季別","合併.Y.N.","單季.Q..單半年.H.","月份","ROE","ROA","資產總額","權益總額","營業毛利","淨利","GPOA","營業毛利率","自由現金流量","CFOA","折舊","流動資產","流動負債","ACC應計項目","change_GPOA","change_營業毛利率","change_ROA","change_ROE","change_CFOA","change_ACC應計項目","負債總額","負債比率","MA_ROE","sigma_ROE","MA_ROA","sigma_ROA","z_ROA","z_ROE","z_GPOA","z_營業毛利率","z_CFOA","z_ACC","z_change_GPOA","z_change_ROE","z_change_ROA","z_change_營業毛利率","z_change_CFOA","z_change_ACC應計項目","z_sigma_ROE","z_sigma_ROA","z_負債比率","score_profit","score_growth","score_safety","年.x","時間標籤.x","年月.y","單月營收_千元","年.y","月","月營收YoY","月營收MoM","z_月營收YoY","z_月營收MoM","時間標籤.y","total_score"
6643,"M31",24,20220812,287,317.5,1904,1.6055,".",51.6219882852406,264.775,264.782766666667,286.159175,329.294408730159,459.95,0.156765456432461,0.589140281711955,"OTC",202206,2,"Y",1,6,0.0532667,0.03853103,2118241,1532252,299748,81618,0.141508,100,226769,0.1070553,10666,1306642,584301,-0.3359745,-0.2694648,0,0.8040056,0.6388673,-0.1908293,-0.2694648,585989,0.2766394,0.04467807,0.009159502,0.03247002,0.007779746,0.8866196,0.3007911,2.854744,0.6897411,1.29649,-0.3267063,-0.06526891,0.02303163,0.04229305,0.006540387,0.02450292,-0.06526891,-0.2424997,-0.3583004,-0.9558607,1.059182,0.006219817,-0.5188869,2022,2022-08-14,201706,101885,2017,6,4.8061,2.8694,2.526355,0.1246993,20170710,3.83363694657201
6589,"台康生技",22,20220812,86.8,88.5,2107,0.7223,".",16.1799920048239,85.9550000000001,85.4233333333332,88.6816666666666,102.253174603175,1283.65,0.158234617825954,0.608750717895989,"OTC",202206,2,"Y",1,6,0.0005844311,0.0005173407,12082946,10695871,146458,6251,0.01212105,43.51,24403,0.002019623,45745,9166311,942385,-0.6768367,0.3128046,-0.1416453,-1.02399,-1.019751,-1.004534,0.3128046,1387075,0.1147961,-0.05756554,0.0639382,-0.03382248,0.03456256,-0.4797885,-0.2622057,-0.9383692,0.1980372,-0.3329349,-2.04963,0.06536301,-0.07391137,-0.06773738,-0.03828817,0.02349269,0.06536301,0.4148558,1.598804,-1.878892,0.03906156,-0.01821624,0.04492258,2022,2022-08-14,201607,22945,2016,7,2.4483,0.0851,2.544267,0.1522389,20160810,2.379232690526
3531,"先益",26,20220812,26.8,26.25,823,0.3343,".",1.20380921092405,23.506465,22.5478383333333,21.8775566666667,21.2940206349206,461.7,0.0565327343089866,-0.748770862332181,"OTC",202206,2,"Y",1,6,0.03624026,0.02236714,2938775,1813784,113207,65732,0.03852183,18.42,20996,0.007144473,25307,2080879,886440,-0.3978297,-0.115298,0.1143376,68.89681,74.37499,-5.183068,-0.115298,1124991,0.3828095,0.01492201,0.01559774,0.009819232,0.009620119,0.3056062,0.1188356,-0.1644027,-0.02035277,-0.2534328,-0.63936,-0.03068164,4.332764,4.140925,0.04272647,0.01830495,-0.03068164,-0.1652396,-0.2238185,-0.3503471,0.1042689,1.700808,-0.2464684,2022,2022-08-14,200901,54029,2009,1,-0.5566,-0.0666,-0.0891554795788178,-0.0116487923362,20090210,2.08796543600423
6443,"元晶",26,20220812,36.65,36.25,20068,1.2008,".",4.87924039090259,34.085,33.9895333333333,37.4139916666666,35.9350317460318,26630.65,0.135779492985738,0.309018643098915,"TSE",202203,1,"Y",1,3,0.005094407,0.002643186,9983786,5179994,143991,26389,0.01442248,7.18,678532,0.0679634,138236,3116579,3049990,0.007176336,-1.061809,0.367619,99.71383,101.7536,8.310385,-1.061809,4803792,0.4811594,-0.03801685,0.08579994,-0.01404678,0.03220409,-0.3898477,-0.03230409,-0.812509,-0.5047249,0.9881126,1.378705,-0.06427473,6.321152,7.505494,0.1028075,0.08604225,-0.06427473,0.1241166,1.812366,0.263224,-0.3549963,2.790244,0.7332354,2022,2022-05-15,201311,502119,2013,11,4.4428,-0.0763,0.0073255,-0.1137441,20131210,1.81539188922527
3293,"鈊象",32,20220812,411,408.5,868,0.7583,".",21.3657066137114,367.0893,347.306566666667,344.059466666667,343.736908730158,1576.75,0.062157150050139,-0.673695893405813,"OTC",201812,4,"Y",1,12,0.0704704,0.05749887,4613517,3764304,769260,265272,0.1667405,87.36,-13139,-0.002847936,11578,3096818,737254,-0.5089362,0.04419326,0.001490313,0.1732577,0.1681533,-1.604704,0.04419326,849213,0.1840706,0.05891555,0.01256076,0.04737672,0.009919027,1.503612,0.5481437,2.787923,0.6906965,0.04609963,-1.020542,0.0008922496,-0.002427677,0.01949902,0.02680984,-0.0243617,0.0008922496,-0.1217167,-0.2186722,-1.192016,1.099503,0.004082346,-0.5108015,2018,2019-03-31,200901,200978,2009,1,0.1777,-0.1945,0.0872809567583397,-0.0622977452276246,20090210,1.74239150110979
8432,"東生華",22,20220812,42.85,42.8,96,0.3054,".",2.01108499421861,43.0974999999998,41.5827500000001,41.6381416666672,41.0918535714282,454.1,0.0489412090092949,-0.85010290324232,"OTC",202206,2,"N",1,6,0.01544616,0.01381011,1178557,1053725,65519,16276,0.05559256,59.77,55232,0.04686409,1739,927712,124832,-0.6797643,0.05191744,-0.007142857,0.3232337,0.2918772,-0.06057755,0.05191744,124832,0.1059194,0.01060173,0.003854378,0.009319275,0.003520332,-0.001977788,-0.1033837,0.3360435,0.3395686,0.3627398,-2.064429,0.006833069,0.002750739,0.0133545,0.004279783,0.02466463,0.006833069,-0.3061623,-0.6695492,-1.929519,0.4995698,0.01037654,-0.96841,2022,2022-08-14,201109,58667,2011,9,0.2145,0.0279,0.08578406,-0.04239373,20111010,1.53456375081058
6715,"嘉基",28,20220812,156,152,807,0.8521,".",15.7995535815582,156.125,138.779566666667,120.985805833333,118.004490873016,755.7,0.133889426280904,0.28378994279215,"TSE",202206,2,"Y",1,6,0.07180253,0.04216955,4043273,2374610,314290,170503,0.07773158,34.51,137636,0.03404074,31958,3042776,1257411,-0.4336603,0.3422892,0.4068488,5.673399,5.234001,-0.3199676,0.3422892,1668663,0.412701,0.04686774,0.02840935,0.02665918,0.01710713,1.017407,0.498877,0.985072,0.1196988,0.1638104,-0.8204696,0.07197786,0.2916082,0.3353908,0.1353018,0.0243426,0.07197786,-0.01149768,0.323281,-0.1798684,0.6008891,0.1717243,0.04397166,2022,2022-08-14,201701,58084,2017,1,2.4494,0.0212,0.8006883,0.05558094,20170210,1.46937548430196
2482,"連宇",31,20220812,26.1,25.95,6739,1.5039,".",5.40389912772101,27.9250000000001,25.6233333333333,19.68125,16.7642857142857,17397.25,0.322345921551318,2.79931620854782,"TSE",202206,2,"Y",1,6,0.1100722,0.08376317,1288287,980366,146026,107911,0.113349,39.81,-38612,-0.02997158,5767,939650,211661,-0.5606064,0.6732644,0.04187386,68.0856,55.14774,-5.537274,0.6732644,307921,0.2390158,0.02938193,0.05596589,0.02203525,0.04233555,2.512496,0.907851,2.029233,0.1658314,-0.8292163,-1.462132,0.146232,3.208969,4.092097,0.01979282,0.01786519,0.146232,0.3191865,2.166801,-1.170437,1.041388,1.496991,0.4385168,2022,2022-08-14,200901,38626,2009,1,-0.4655,-0.5204,-0.0672661164434303,-0.191355554041661,20090210,1.44239620641961
6146,"耕興",31,20220812,232.5,233,454,0.4498,".",15.4674429866263,208.425,189.9203,185.710533333334,197.253297619048,491.1,0.0784141161305114,-0.456697136647675,"OTC",202206,2,"Y",1,6,0.09215019,0.06032012,6968537,4561499,719084,420343,0.1031901,56.24,868061,0.1245686,111891,4273086,2098617,-0.2959844,0.197462,0.1529315,0.3365837,0.4015982,0.2761212,0.197462,2407038,0.3454151,0.06519438,0.01940626,0.04432098,0.01171199,1.669832,0.7163253,1.731415,0.3088425,1.568174,-0.1245719,0.03948594,0.009163719,0.01415806,0.05494087,0.02508265,0.03948594,-0.1195365,-0.07095865,-0.5636163,1.01986,0.02856625,-0.2513705,2022,2022-08-14,200901,91303,2009,1,0.034,-0.0408,0.0527529492659666,-0.00143188080688991,20090210,1.40388134592789
1339,"昭輝",12,20220812,43.8,43.05,378,0.6193,".",2.63116321522212,41.6375000000001,40.4866666666667,37.7529166666669,36.1187845238098,415.45,0.0728475016507724,-0.531000571586474,"TSE",202206,2,"Y",1,6,0.05506954,0.03849956,5257827,3675789,138711,202424,0.02638181,28.1,72945,0.0138736,91364,1954868,1050280,-0.1546692,0.02876604,0.2308366,56.17284,54.31831,-0.5785066,0.02876604,1582038,0.300892,0.02675494,0.02919369,0.01789042,0.01966981,0.8854884,0.3200574,-0.5203001,0.06390451,-0.1490435,0.5897206,0.001639062,3.16049,3.375046,0.07959663,0.02402161,0.001639062,-0.002085385,0.5105444,-0.8175425,0.001731025,1.328159,-0.1030279,2022,2022-08-14,201008,74161,2010,8,0.0288,-0.0986,-0.1936833,-0.4526402,20100910,1.34622773914662
