"證券代碼","公司名稱","TSE產業別","上市別","年月日","調整開盤價","調整收盤價","成交張數","CAPM一年beta","年月","季別","合併.Y.N.","單季.Q..單半年.H.","月份","ROE","ROA","資產總額","權益總額","營業毛利","淨利","GPOA","營業毛利率","自由現金流量","CFOA","折舊","流動資產","流動負債","ACC應計項目","change_GPOA","change_營業毛利率","change_ROA","change_ROE","change_CFOA","change_ACC應計項目","負債總額","負債比率","MA_ROE","sigma_ROE","MA_ROA","sigma_ROA","z_ROA","z_ROE","z_GPOA","z_營業毛利率","z_CFOA","z_ACC","z_change_GPOA","z_change_ROE","z_change_ROA","z_change_營業毛利率","z_change_CFOA","z_change_ACC應計項目","z_sigma_ROE","z_sigma_ROA","z_負債比率","score_profit","score_growth","score_safety","年","時間標籤","total_score"
6426,"統新",27,"TSE",20220809,72.9,69.1,2350,1.1623,202203,1,"Y",1,3,0.0187356613863184,0.0168940928807053,1453585,1310709,66649,24557,0.0458514637946869,37.61,-11718,-0.00806144807493198,44191,798430,96674,-0.452374646133525,0.0474108564196589,-0.141520200867382,17.0093173122214,17.1841410820422,0.207000572345195,0.0474108564196589,142876,0.0982921535376328,0.0172453713835942,0.0113151465775167,0.0140208260504104,0.00908048185339673,0.20638214198636,0.0293198852449072,0.119684634396051,0.388518665970647,-0.22315567936477,-0.85777699779845,0.0183009517298599,1.07333169161014,1.28841940710489,-0.00455634065811748,0.0173014518757134,0.0183009517298599,-0.0603431859295444,-0.131531721542515,-1.82397241901373,0.229754441005274,0.401849685565391,0.671949108828598,2022,2022-05-15,0.76049835172112
2360,"致茂",31,"TSE",20220809,176,177.5,1239,0.9858,202203,1,"Y",1,3,0.0510095254570562,0.0281804523451253,31055889,17156972,2183896,875169,0.0703214775142969,49.66,3170490,0.102089816202009,157514,15835535,11247045,-0.142677480589913,-0.273661411579112,0.00812017864393022,0.55514964614605,0.65435422847443,1.21434061342366,-0.273661411579112,13898917,0.447545294871449,0.0339584842972001,0.0130494864187352,0.0194704889781443,0.00645107627033726,0.678581127656432,0.175116142293631,0.845473125083267,0.742234895575309,1.53183287176951,0.649416108912708,-0.00560122893028848,0.0476025828030095,0.0515244999485747,0.0269988246592603,0.025846691094206,-0.00560122893028848,-0.0560481353284469,-0.352573971908516,0.0799773668046898,0.55397034224424,0.0234616901074123,0.109548246810758,2022,2022-05-15,0.763145957796387
6515,"穎崴",24,"TSE",20220809,393,387.5,445,1.597,202112,4,"Y",1,12,0.0805813797119178,0.0599339206768878,3939205,2929858,458738,236092,0.116454462258248,48.57,69563,0.0176591469598561,28937,2891391,955019,-0.48421826231435,0.0318828239485693,0.115782219159201,0.220551240769247,0.208277371231355,-18.4350779642498,0.0318828239485693,1009347,0.256231143085978,0.0694737401390158,0.0183743247889479,0.0504224911938308,0.011593600688973,1.54423487885952,0.107929688830048,1.77378626704913,0.43476610355168,0.408157268199463,-0.989989000357285,-0.0293223723949678,-0.00421807690860999,-0.00521889895811163,0.057630128478317,-0.142948398309223,-0.0293223723949678,-0.0543897175929065,-0.117728938490139,-0.956110820116476,0.876477201141187,-0.0255666650812605,0.376076492066507,2021,2022-03-31,0.764397386736769
3454,"晶睿",26,"TSE",20220809,91.5,89.7,1878,0.4882,202203,1,"Y",1,3,0.0339237541467683,0.0190876504881111,5460232,3072272,496953,104223,0.0910131657409429,26.58,-16080,-0.00294492981250614,27084,4066838,2045529,-0.36522715518315,0.00864725573855707,-0.255044843049327,0.956931076317533,1.12183216066159,-1.06536724894864,0.00864725573855707,2387960,0.437336728549263,0.0255831073098861,0.00735914821318904,0.0156301380573076,0.00405888487852196,0.298156259272916,0.09793165950686,1.45919526434602,0.0647435611955913,-0.141636588039129,-0.433659142547747,0.0154152008293147,0.0766111675486646,0.0817272677126168,-0.0284956601342262,0.00650798893024378,0.0154152008293147,-0.0701401200417819,-0.553674696711026,0.024325476063177,0.368674883138333,0.0278635276193214,0.199829780229877,2022,2022-05-15,0.790753704790627
3441,"聯一光",26,"OTC",20220809,41.3,42.6,3403,1.393,202203,1,"Y",1,3,0.0372210895318477,0.0247291310870174,1078566,716583,41562,26672,0.0385344985842313,35.45,-10061,-0.00932812641970913,5592,967229,315019,-0.599516394916955,-0.0393913078235741,0.202510176390774,14.8450305386721,15.7768187304827,-0.740073119862239,-0.0393913078235741,361983,0.335615066671859,0.0120219203014034,0.0175128102008497,0.0084186371313366,0.0116507156432539,0.534184663726878,0.112827277717472,-0.0973389111302702,0.325113931037363,-0.243337072720951,-1.57386695324423,0.0118389765977019,0.986002586022923,1.12572535036762,0.0679904910462239,0.00926745051824796,0.0118389765977019,-0.0449948221093981,0.0845362234474319,-0.530209081893641,0.367552806979121,0.368777305191737,0.163555893518536,2022,2022-05-15,0.791994014874489
4953,"緯軟",30,"OTC",20220809,83.2,83.6,517,0.7246,202203,1,"Y",1,3,0.0399237292633831,0.027054627921519,3975586,2694087,392452,107558,0.098715510115993,21.46,-96903,-0.0243745198821004,20800,3026045,1097045,-0.479979555215256,-0.00714094130290654,-0.090677966101695,-0.132260967417056,-0.103834742672306,-6.28025983105637,-0.00714094130290654,1281499,0.322342165406559,0.0392765414403799,0.00670274278477939,0.026438087303914,0.00472150345202464,0.631478857651177,0.12503637533731,1.6876492800559,-0.0855491438314517,-0.48306421916539,-0.992120909556062,0.0142398506804674,0.000554396122133945,-0.000149623246026276,0.00616493075522389,-0.0377298084327446,0.0142398506804674,-0.0717656921833258,-0.497971346278904,-0.602566161989601,0.477945343267267,-0.00044673390674637,0.390767733483944,2022,2022-05-15,0.820578544101908
1477,"聚陽",4,"TSE",20220809,162.5,165.5,2203,0.9689,202203,1,"Y",1,3,0.070998847060901,0.0387239742354893,22925023,12503696,2077548,887748,0.0906235950123147,26.06,2377205,0.103694770557046,135496,16727853,9663830,-0.302225520122706,-0.0407453429215372,0.107051826677995,0.269718726652637,0.382810004698656,-3.06048763045224,-0.0407453429215372,10421327,0.454583055380141,0.054360642390128,0.0115498228109646,0.0331448959511038,0.00423426201167813,1.11970125657977,0.265417330412787,1.44764047102277,0.0494794583412822,1.55740385850917,-0.127051137569861,0.0117381756417881,0.0307523464918781,0.030068048438466,0.0478608708464631,-0.0104165650777416,0.0117381756417881,-0.0597620159226179,-0.53893153330355,0.118343643374145,0.761115585405942,0.0202901753304403,0.160116635284008,2022,2022-05-15,0.831808196235676
2480,"敦陽科",30,"TSE",20220809,88,88.9,378,0.3123,202203,1,"Y",1,3,0.0699814643792639,0.0316081357135282,5770508,2606333,403917,182395,0.0699967836453914,25.66,629520,0.109092648342226,7815,4946825,3061640,-0.325338774333213,0.0350830306624796,-0.00426852929763288,0.271160307838815,0.244563363018301,0.346360506285625,0.0350830306624796,3164175,0.548335605808016,0.0557273733170666,0.0108976307183222,0.027020513073928,0.00309146735460833,0.82198862897344,0.260821333272693,0.835842600321465,0.0377378407610445,1.64340571945554,-0.239535658887939,0.0173832084434916,0.0221736754041887,0.0301764151734855,0.0243863765457136,0.0184836385499563,0.0173832084434916,-0.0613771538402054,-0.63500111813003,0.629434675012061,0.639888630278687,0.0216644204267212,0.0223145323193913,2022,2022-05-15,0.844762505128115
6670,"復盛應用",20,"TSE",20220809,185,188,415,0.798,202203,1,"Y",1,3,0.107252162301513,0.0561267515819491,18849532,9864258,1858038,1057963,0.0985721024797857,22.97,-106751,-0.00566332363052833,159074,12492244,8535102,-0.20149402117782,0.132214999491624,-0.0539538714991764,0.042134494602871,0.0480759319267596,0.349433753547971,0.132214999491624,8985274,0.476684195660667,0.0864635477305959,0.0214230611706906,0.0488935794916854,0.00713700959870698,1.8477990844707,0.429190644203282,1.68339576336283,-0.0412245374660543,-0.184947484735771,0.363175566868719,0.0246141844517932,0.00998096660698917,0.012960055905254,0.013909062921274,0.0185097088260929,0.0246141844517932,-0.0353111803113421,-0.294910655347263,0.238827774576936,0.561839650494379,0.0174313605271994,0.030464687027223,2022,2022-05-15,0.859865525725372
4908,"前鼎",27,"OTC",20220809,36.9,38.5,4239,1.0417,202203,1,"N",1,3,0.044958070099681,0.040258762618604,1846480,1653474,109313,74337,0.0592007495342489,43.54,421,0.000228001386421732,5846,1490204,192089,-0.699855400545904,-0.00179542869060945,0.663737103553687,7.45632534619225,7.72232603727946,-0.0960044314207752,-0.00179542869060945,193006,0.104526450327109,0.0225028865034571,0.0174445787393386,0.0203725181437086,0.0155813158476761,1.18391377081075,0.14777886594925,0.515628750312285,0.562588146597671,-0.0910837599421674,-2.06218352324819,0.0146377966288254,0.486194107832549,0.570300608835402,0.165250949640234,0.014731068354764,0.0146377966288254,-0.0451637956708721,0.41496402814678,-1.78998621636508,0.730168216162663,0.2109587213201,0.473395327963056,2022,2022-05-15,0.902788344099414
